aweek,bvid,category,coin,favorite,like,mid,name,play_link,reply,title,view,date,like_ratio,coin_ratio,favorite_ratio,reply_ratio
167,BV1Aa411E7ZR,VOCALOID,447139,255575,849259,5260378,白勺啊达,https://b23.tv/BV1Aa411E7ZR,7390,爱你，就多判一年,8492201,2024-01-15,0.10000458067349088,0.05265289881857483,0.0300952603453451,0.0008702102081662929
167,BV1st4y1s7Kk,Original Music,31894,20288,77832,48421904,贾逸可,https://b23.tv/BV1st4y1s7Kk,2943,我帮周董“出歌”还被本人评论了？！原创歌曲《常玉》,1404961,2024-01-15,0.055397979018634684,0.02270098600601725,0.014440258484043329,0.0020947200669627127
167,BV11g411d7TW,Fashion,221958,328900,889645,836885,清和Alicia,https://b23.tv/BV11g411d7TW,10116,约尔太太今天约会♥,8081906,2024-01-15,0.11007861264409657,0.027463571093254487,0.04069584575717659,0.0012516849366968634
167,BV1x34y1E77j,Comprehensive,152212,253446,771955,397857697,黄方块和粉星星a,https://b23.tv/BV1x34y1E77j,5713,“轻 轻 敲 醒 沉 睡 的 心 灵”,7924634,2024-01-15,0.0974120697561553,0.01920744857112644,0.03198204484901132,0.0007209165748222568
167,BV1ev4y1A7Wo,Kichiku Theater,35683,41614,213570,429765143,快乐阿依,https://b23.tv/BV1ev4y1A7Wo,1305,美 国 退 长,3988127,2024-01-15,0.05355145410364314,0.00894730784651542,0.010434472121875758,0.00032722127454817764
167,BV1cU4y1U7mp,Shorts,46856,47917,414247,627888730,星有野,https://b23.tv/BV1cU4y1U7mp,3553,【521 仨 人 全 破 防 了】,3823378,2024-01-15,0.1083458135711405,0.012255131457051854,0.012532634753874715,0.0009292829534511105
167,BV17T4y1z7gB,Daily Life,236816,47662,330954,6016626,呆阿拿,https://b23.tv/BV17T4y1z7gB,6841,怎么办啊！我被求婚了！,4912553,2024-01-15,0.0673690441609485,0.048206299250104785,0.009702083621286122,0.0013925549505521874
167,BV1h5411X7DF,Drawing,45716,16414,137609,150522015,东东翔,https://b23.tv/BV1h5411X7DF,1965,毕业创作的诞生,1336806,2024-01-15,0.10293864629572279,0.03419793148744096,0.012278520593115232,0.0014699215892208743
167,BV1234y1E72K,VOCALOID,29485,17850,83684,39422678,夜雨星繁y,https://b23.tv/BV1234y1E72K,1576,爱你？劈你！,1356949,2024-01-15,0.061670703910021676,0.021728893274544584,0.01315451059693474,0.001161429058866619
167,BV155411X7EN,Geek DIY,55151,95549,881841,2068622664,猪坚强jqsg999,https://b23.tv/BV155411X7EN,8103,不忍直视，我居然制做了这么多垃圾,8021577,2024-01-15,0.10993362028439047,0.006875331371873635,0.011911498200416202,0.0010101504978385174
167,BV1LZ4y1h7tQ,Daily Life,94456,22661,254322,9824766,敬汉卿,https://b23.tv/BV1LZ4y1h7tQ,7591,菜鸟驿站真的赚钱吗？我承包一个店给大家打个样！,3988235,2024-01-15,0.06376805780000426,0.023683659563691707,0.005681962070941155,0.0019033482229607833
167,BV1KB4y1R7pq,Travel,159224,29285,280371,25807917,阿福Thomas,https://b23.tv/BV1KB4y1R7pq,6618,瘦了120斤后，回德国给爸妈惊喜！我妈：你谁啊？,2987537,2024-01-15,0.09384687118519369,0.053296076333113195,0.009802389058277771,0.002215202690376722
167,BV1K34y177b5,Original Music,24864,14026,95628,17134369,司墨尧smile,https://b23.tv/BV1K34y177b5,2065,爱你，但是是二手的,1627554,2024-01-15,0.058755654190275716,0.015276912471106949,0.00861784002251231,0.0012687751066938486
167,BV1Rt4y1x79A,Shorts,17991,33299,156656,24759869,koko396,https://b23.tv/BV1Rt4y1x79A,1322,间谍过家家，但，蜡笔小新。,2127453,2024-01-15,0.0736354692677112,0.008456591050425085,0.015652049657501246,0.0006214003317582105
167,BV1XY4y157g8,Drawing,635792,141295,858228,456664753,央视新闻,https://b23.tv/BV1XY4y157g8,5868,丰收了 我真的很想画这幅画,4753376,2024-01-15,0.1805512545188935,0.1337558821351393,0.029725189002511056,0.0012344910228014783
167,BV1xS4y1z7qt,Music Video,50849,86758,195305,1636530654,Faye-詹雯婷,https://b23.tv/BV1xS4y1z7qt,4432,【Faye詹雯婷】内地首发国风新曲《人间惊鸿客》，惊喜来袭！,3220428,2024-01-15,0.06064566573138726,0.015789516176110754,0.026939897429782624,0.0013762145901103828
167,BV1x3411V7tL,Science Popularization,109921,74650,144662,19319172,差评君,https://b23.tv/BV1x3411V7tL,4231,这名“业余”程序员，曾用50张1080ti对抗癌症【差评君】,2207406,2024-01-15,0.06553484044167679,0.049796457923916126,0.0338179745819301,0.0019167294099952613
167,BV1d54y1Z7fC,Music Video,53059,86601,200703,444935584,梦幻西游电脑版,https://b23.tv/BV1d54y1Z7fC,7651,【王晰X下潜】低音炮来上分了，我是无底的,6818898,2024-01-15,0.029433348321092352,0.007781169332639966,0.012700145976666612,0.0011220288087605945
167,BV1oB4y197yf,Celebrity Comprehensive,150913,122797,306968,3670216,TF家族,https://b23.tv/BV1oB4y197yf,37921,【时代少年团】《循梦》,5278968,2024-01-15,0.058149244321996266,0.028587595151173487,0.02326155415225097,0.00718341160620788
